,Failure_ID,Device_Type,Brand,Model_Name,Usage_Duration,Failure_Type,Warranty_Status,Repair_Cost,Customer_Rating,Comments
1379,FAIL01380,Smartwatch,Dell,Model-534,51.0,Overheating,Yes,1160.85,5.0,Fixed quickly
1380,FAIL01381,Tablet,Lenovo,Model-180,30.0,Battery Issue,No,2556.98,5.0,Perfect repair
1381,FAIL01382,Tablet,Dell,Model-330,31.0,Battery Issue,Yes,1986.12,2.0,Had to replace
1382,FAIL01383,Gaming Console,OnePlus,Model-592,47.0,Software Crash,No,4100.27,4.2,Very bad service
1383,FAIL01384,Smartphone,Lenovo,Model-518,36.0,Speaker Malfunction,Yes,2477.03,1.7,Fixed quickly
1384,FAIL01385,Tablet,Samsung,Model-546,19.0,Screen Crack,Yes,2422.74,4.1,Very bad service
1386,FAIL01387,Smartwatch,Lenovo,Model-798,30.0,Overheating,Yes,2556.98,4.1,Perfect repair
1387,FAIL01388,Smartwatch,Lenovo,Model-471,45.0,Software Crash,Yes,4076.11,2.2,Fixed quickly
1388,FAIL01389,Gaming Console,Apple,Model-941,30.0,Screen Crack,Yes,2556.98,2.2,Fixed quickly
1389,FAIL01390,Smartphone,Lenovo,Model-718,57.0,Screen Crack,Yes,1565.39,4.3,Perfect repair
1390,FAIL01391,Tablet,Dell,Model-700,30.0,Battery Issue,No,2556.98,4.3,Very bad service
1391,FAIL01392,Gaming Console,OnePlus,Model-566,28.0,Speaker Malfunction,Yes,3965.47,2.6,Not satisfied
1392,FAIL01393,Gaming Console,Lenovo,Model-376,1.0,Screen Crack,Yes,4888.74,3.3,Had to replace
1394,FAIL01395,Laptop,Sony,Model-927,55.0,Speaker Malfunction,Yes,880.69,1.8,Not satisfied
1395,FAIL01396,Smartwatch,Dell,Model-605,55.0,Software Crash,Yes,2992.34,3.4,Had to replace
1396,FAIL01397,Laptop,Dell,Model-668,50.0,Speaker Malfunction,Yes,2465.24,2.9,Very bad service
1397,FAIL01398,Gaming Console,OnePlus,Model-449,6.0,Overheating,Yes,844.79,4.2,Very bad service
1399,FAIL01400,Tablet,Apple,Model-879,30.0,Screen Crack,Yes,2556.98,4.2,Perfect repair
1400,FAIL01401,Tablet,Sony,Model-540,56.0,Speaker Malfunction,No,2516.47,4.4,Very bad service
1401,FAIL01402,Laptop,Sony,Model-395,43.0,Screen Crack,No,668.1,3.4,Had to replace
1402,FAIL01403,Laptop,Apple,Model-161,56.0,Battery Issue,Yes,1962.4,2.9,Fixed quickly
1403,FAIL01404,Smartwatch,Samsung,Model-624,30.0,Speaker Malfunction,No,2556.98,2.9,Perfect repair
1404,FAIL01405,Tablet,Lenovo,Model-289,33.0,Battery Issue,No,1904.16,1.8,Had to replace
1405,FAIL01406,Laptop,HP,Model-166,48.0,Overheating,No,1811.01,1.6,Perfect repair
1406,FAIL01407,Gaming Console,Sony,Model-838,21.0,Screen Crack,No,2227.56,4.3,Not satisfied
1407,FAIL01408,Gaming Console,HP,Model-525,13.0,Battery Issue,Yes,2806.05,1.1,Perfect repair
1408,FAIL01409,Laptop,Sony,Model-804,17.0,Speaker Malfunction,Yes,149.12,4.9,Fixed quickly
1409,FAIL01410,Smartphone,Sony,Model-990,31.0,Software Crash,No,4099.75,3.4,Very bad service
1410,FAIL01411,Laptop,Sony,Model-657,16.0,Screen Crack,No,1556.22,1.5,Perfect repair
1411,FAIL01412,Smartphone,Sony,Model-573,48.0,Screen Crack,Yes,4249.95,4.2,Not satisfied
1412,FAIL01413,Tablet,Samsung,Model-193,40.0,Screen Crack,No,788.82,4.5,Not satisfied
1413,FAIL01414,Laptop,Samsung,Model-337,30.0,Battery Issue,No,2556.98,4.5,Perfect repair
1414,FAIL01415,Tablet,HP,Model-935,45.0,Screen Crack,Yes,4940.79,2.5,Not satisfied
1415,FAIL01416,Laptop,Apple,Model-727,17.0,Software Crash,No,1044.58,4.4,Very bad service
1417,FAIL01418,Gaming Console,Samsung,Model-413,42.0,Overheating,Yes,1675.99,3.0,Perfect repair
1418,FAIL01419,Gaming Console,OnePlus,Model-673,25.0,Screen Crack,No,3272.52,4.6,Fixed quickly
1419,FAIL01420,Smartphone,Samsung,Model-530,31.0,Overheating,No,453.13,1.5,Very bad service
1420,FAIL01421,Tablet,Dell,Model-970,55.0,Overheating,Yes,4046.1,4.5,Very bad service
1421,FAIL01422,Smartwatch,Dell,Model-473,28.0,Screen Crack,No,3224.07,4.7,Very bad service
1422,FAIL01423,Smartphone,Sony,Model-456,52.0,Overheating,Yes,4355.32,1.1,Had to replace
1423,FAIL01424,Laptop,Dell,Model-130,30.0,Software Crash,No,2556.98,1.1,Had to replace
1424,FAIL01425,Laptop,Apple,Model-769,38.0,Software Crash,No,770.12,2.1,Not satisfied
1425,FAIL01426,Gaming Console,HP,Model-509,8.0,Speaker Malfunction,Yes,4356.19,3.3,Perfect repair
1426,FAIL01427,Smartphone,Lenovo,Model-477,48.0,Overheating,Yes,2017.5,3.6,Had to replace
1427,FAIL01428,Laptop,Lenovo,Model-477,44.0,Software Crash,Yes,2503.18,3.3,Fixed quickly
1428,FAIL01429,Tablet,HP,Model-158,51.0,Speaker Malfunction,Yes,396.35,3.7,Very bad service
1429,FAIL01430,Smartwatch,OnePlus,Model-609,51.0,Battery Issue,No,1211.59,3.2,Perfect repair
1430,FAIL01431,Smartwatch,Samsung,Model-313,2.0,Overheating,Yes,1525.05,4.0,Perfect repair
1431,FAIL01432,Tablet,Lenovo,Model-323,9.0,Overheating,Yes,4045.54,3.1,Not satisfied
1432,FAIL01433,Smartphone,HP,Model-355,50.0,Screen Crack,Yes,2427.72,1.8,Very bad service
1433,FAIL01434,Smartphone,Apple,Model-465,30.0,Speaker Malfunction,Yes,2556.98,1.8,Very bad service
1434,FAIL01435,Smartwatch,Dell,Model-206,4.0,Battery Issue,Yes,4748.26,3.6,Fixed quickly
1435,FAIL01436,Smartwatch,Dell,Model-880,35.0,Software Crash,Yes,1262.23,3.0,Perfect repair
1436,FAIL01437,Tablet,Apple,Model-508,54.0,Speaker Malfunction,No,2460.61,2.4,Perfect repair
1437,FAIL01438,Smartwatch,OnePlus,Model-155,43.0,Screen Crack,No,1367.86,3.3,Fixed quickly
1438,FAIL01439,Tablet,Dell,Model-537,32.0,Speaker Malfunction,No,1247.26,4.9,Not satisfied
1439,FAIL01440,Tablet,Lenovo,Model-561,58.0,Overheating,No,4442.54,3.5,Not satisfied
1440,FAIL01441,Gaming Console,Sony,Model-292,9.0,Overheating,Yes,2857.88,3.8,Not satisfied
1441,FAIL01442,Gaming Console,HP,Model-692,55.0,Software Crash,No,100.39,3.7,Very bad service
1442,FAIL01443,Laptop,Dell,Model-664,30.0,Overheating,Yes,822.91,3.8,Very bad service
1443,FAIL01444,Tablet,HP,Model-691,49.0,Software Crash,No,4414.14,1.8,Not satisfied
1444,FAIL01445,Tablet,Apple,Model-120,1.0,Overheating,No,404.86,1.5,Perfect repair
1445,FAIL01446,Laptop,Dell,Model-458,49.0,Speaker Malfunction,No,4477.74,4.1,Very bad service
1447,FAIL01448,Tablet,Sony,Model-976,37.0,Speaker Malfunction,No,4909.89,1.0,Had to replace
1448,FAIL01449,Smartphone,Sony,Model-638,18.0,Battery Issue,Yes,3154.82,2.2,Fixed quickly
1449,FAIL01450,Smartwatch,Apple,Model-554,38.0,Speaker Malfunction,Yes,4906.62,2.9,Perfect repair
1450,FAIL01451,Smartwatch,Sony,Model-162,30.0,Battery Issue,Yes,2556.98,2.9,Perfect repair
1451,FAIL01452,Laptop,Apple,Model-856,55.0,Screen Crack,No,3937.95,1.4,Very bad service
1452,FAIL01453,Gaming Console,Lenovo,Model-639,19.0,Speaker Malfunction,No,1442.52,2.0,Perfect repair
1453,FAIL01454,Smartwatch,Sony,Model-578,58.0,Overheating,No,863.85,1.3,Not satisfied
1454,FAIL01455,Laptop,Dell,Model-609,16.0,Overheating,Yes,613.71,3.1,Not satisfied
1455,FAIL01456,Laptop,OnePlus,Model-333,42.0,Speaker Malfunction,Yes,1726.61,3.7,Not satisfied
1456,FAIL01457,Gaming Console,HP,Model-326,53.0,Speaker Malfunction,Yes,1990.77,3.9,Very bad service
1457,FAIL01458,Gaming Console,HP,Model-964,21.0,Battery Issue,Yes,1668.06,4.2,Perfect repair
1458,FAIL01459,Smartphone,OnePlus,Model-991,49.0,Overheating,No,4808.52,1.2,Had to replace
1459,FAIL01460,Laptop,Samsung,Model-320,30.0,Screen Crack,No,2556.98,1.2,Not satisfied
1460,FAIL01461,Laptop,HP,Model-527,39.0,Screen Crack,Yes,1087.26,4.0,Fixed quickly
1461,FAIL01462,Smartphone,Sony,Model-732,4.0,Speaker Malfunction,No,1099.26,3.0,Perfect repair
1462,FAIL01463,Tablet,Samsung,Model-269,15.0,Battery Issue,Yes,3687.05,3.4,Perfect repair
1463,FAIL01464,Gaming Console,Samsung,Model-699,12.0,Software Crash,No,3369.22,3.7,Perfect repair
1464,FAIL01465,Smartphone,Dell,Model-413,16.0,Overheating,No,968.03,3.0,Perfect repair
1466,FAIL01467,Laptop,Dell,Model-792,25.0,Screen Crack,No,293.95,1.2,Perfect repair
1467,FAIL01468,Laptop,OnePlus,Model-564,51.0,Screen Crack,No,1291.93,1.5,Fixed quickly
1468,FAIL01469,Gaming Console,Dell,Model-425,13.0,Screen Crack,No,3803.33,2.1,Perfect repair
1469,FAIL01470,Tablet,Lenovo,Model-735,30.0,Speaker Malfunction,Yes,2556.98,2.1,Very bad service
1470,FAIL01471,Tablet,Sony,Model-708,34.0,Software Crash,Yes,4523.85,4.7,Very bad service
1471,FAIL01472,Gaming Console,OnePlus,Model-863,19.0,Software Crash,No,2218.2,4.9,Perfect repair
1472,FAIL01473,Gaming Console,Sony,Model-795,55.0,Screen Crack,Yes,4126.3,4.8,Not satisfied
1473,FAIL01474,Tablet,Lenovo,Model-984,11.0,Speaker Malfunction,Yes,3620.19,4.8,Not satisfied
1474,FAIL01475,Gaming Console,OnePlus,Model-275,29.0,Battery Issue,Yes,453.24,4.4,Perfect repair
1475,FAIL01476,Tablet,Sony,Model-595,28.0,Speaker Malfunction,No,4614.78,3.1,Perfect repair
1476,FAIL01477,Smartphone,HP,Model-271,19.0,Overheating,Yes,2758.57,3.7,Perfect repair
1477,FAIL01478,Laptop,Apple,Model-573,18.0,Overheating,Yes,2367.52,1.1,Perfect repair
1478,FAIL01479,Gaming Console,Dell,Model-655,49.0,Screen Crack,No,2973.89,1.1,Had to replace
1479,FAIL01480,Smartwatch,Lenovo,Model-490,29.0,Software Crash,No,968.46,4.5,Very bad service
1480,FAIL01481,Smartwatch,OnePlus,Model-855,20.0,Software Crash,Yes,882.77,2.5,Not satisfied
1481,FAIL01482,Smartwatch,Samsung,Model-904,28.0,Overheating,No,2235.28,2.5,Very bad service
1482,FAIL01483,Tablet,Samsung,Model-435,8.0,Overheating,No,2912.9,1.8,Perfect repair
1483,FAIL01484,Smartphone,Samsung,Model-293,40.0,Screen Crack,No,380.02,2.0,Not satisfied
1484,FAIL01485,Smartphone,Apple,Model-595,40.0,Software Crash,Yes,517.33,3.8,Not satisfied
1485,FAIL01486,Gaming Console,OnePlus,Model-186,46.0,Overheating,No,4706.97,4.4,Very bad service
1486,FAIL01487,Smartphone,Sony,Model-780,30.0,Screen Crack,No,2556.98,4.4,Very bad service
1487,FAIL01488,Smartwatch,Lenovo,Model-522,35.0,Battery Issue,Yes,634.06,3.7,Fixed quickly
1488,FAIL01489,Smartphone,Sony,Model-963,5.0,Speaker Malfunction,No,828.19,3.9,Not satisfied
1489,FAIL01490,Gaming Console,Sony,Model-576,41.0,Battery Issue,Yes,2039.4,3.1,Not satisfied
1490,FAIL01491,Laptop,Lenovo,Model-875,30.0,Battery Issue,No,2556.98,3.1,Had to replace
1491,FAIL01492,Smartwatch,Samsung,Model-718,30.0,Overheating,No,2556.98,3.1,Fixed quickly
1492,FAIL01493,Tablet,Apple,Model-654,7.0,Software Crash,Yes,3700.29,3.3,Fixed quickly
1493,FAIL01494,Smartwatch,HP,Model-370,28.0,Overheating,Yes,1527.29,2.3,Very bad service
1494,FAIL01495,Gaming Console,Lenovo,Model-153,25.0,Battery Issue,Yes,2283.9,2.3,Not satisfied
1495,FAIL01496,Smartwatch,Lenovo,Model-617,56.0,Speaker Malfunction,No,1306.23,1.8,Not satisfied
1496,FAIL01497,Smartphone,Lenovo,Model-918,58.0,Battery Issue,No,3693.21,3.3,Very bad service
1497,FAIL01498,Gaming Console,OnePlus,Model-559,28.0,Overheating,Yes,3955.24,4.8,Had to replace
1498,FAIL01499,Gaming Console,Apple,Model-638,54.0,Screen Crack,Yes,2353.58,2.4,Had to replace
1499,FAIL01500,Laptop,Apple,Model-901,38.0,Overheating,No,3609.94,3.7,Very bad service
1500,FAIL01501,Smartwatch,Dell,Model-278,13.0,Overheating,No,1670.75,4.3,Perfect repair
1501,FAIL01502,Smartwatch,HP,Model-174,30.0,Overheating,Yes,2351.72,4.9,Very bad service
1502,FAIL01503,Smartwatch,Apple,Model-255,39.0,Software Crash,No,4391.52,4.2,Very bad service
1503,FAIL01504,Gaming Console,HP,Model-426,30.0,Screen Crack,Yes,2556.98,4.2,Perfect repair
1504,FAIL01505,Smartphone,Apple,Model-454,3.0,Software Crash,No,2338.81,1.3,Had to replace
1505,FAIL01506,Laptop,HP,Model-218,16.0,Speaker Malfunction,No,370.75,3.9,Had to replace
1506,FAIL01507,Laptop,Lenovo,Model-390,16.0,Software Crash,No,2218.37,3.9,Fixed quickly
1507,FAIL01508,Tablet,HP,Model-738,52.0,Battery Issue,No,2653.57,4.5,Fixed quickly
1508,FAIL01509,Laptop,HP,Model-375,30.0,Battery Issue,Yes,2556.98,4.5,Had to replace
1509,FAIL01510,Smartwatch,Dell,Model-824,10.0,Speaker Malfunction,Yes,1599.12,3.4,Fixed quickly
1510,FAIL01511,Tablet,Sony,Model-357,6.0,Battery Issue,Yes,3932.41,3.8,Not satisfied
1511,FAIL01512,Tablet,Apple,Model-632,19.0,Battery Issue,Yes,384.64,3.5,Not satisfied
1512,FAIL01513,Smartphone,Dell,Model-446,38.0,Speaker Malfunction,Yes,1220.31,4.6,Not satisfied
1513,FAIL01514,Laptop,Apple,Model-269,26.0,Overheating,Yes,3063.66,2.8,Perfect repair
1514,FAIL01515,Laptop,Apple,Model-797,18.0,Speaker Malfunction,No,137.18,1.7,Had to replace
1515,FAIL01516,Smartwatch,Samsung,Model-903,27.0,Speaker Malfunction,Yes,3240.72,1.7,Had to replace
1516,FAIL01517,Smartphone,OnePlus,Model-706,20.0,Screen Crack,Yes,3622.8,1.1,Had to replace
1518,FAIL01519,Gaming Console,Samsung,Model-243,6.0,Software Crash,No,3839.0,3.3,Very bad service
1519,FAIL01520,Gaming Console,Dell,Model-723,30.0,Speaker Malfunction,Yes,2556.98,3.3,Fixed quickly
1520,FAIL01521,Tablet,Apple,Model-904,30.0,Screen Crack,No,2699.27,4.0,Perfect repair
1521,FAIL01522,Gaming Console,Dell,Model-343,51.0,Battery Issue,Yes,3740.01,2.3,Very bad service
1523,FAIL01524,Gaming Console,Sony,Model-704,16.0,Speaker Malfunction,Yes,3209.1,4.4,Very bad service
1524,FAIL01525,Laptop,OnePlus,Model-420,25.0,Speaker Malfunction,No,4658.89,3.5,Had to replace
1525,FAIL01526,Smartphone,Samsung,Model-286,51.0,Software Crash,No,2418.5,4.9,Had to replace
1526,FAIL01527,Smartphone,Samsung,Model-347,30.0,Battery Issue,Yes,2556.98,4.9,Very bad service
1527,FAIL01528,Laptop,Dell,Model-332,6.0,Speaker Malfunction,Yes,1398.09,2.8,Perfect repair
1528,FAIL01529,Smartphone,OnePlus,Model-678,37.0,Speaker Malfunction,No,1858.21,3.5,Not satisfied
1530,FAIL01531,Laptop,Lenovo,Model-208,41.0,Software Crash,No,2827.45,4.7,Perfect repair
1531,FAIL01532,Smartwatch,OnePlus,Model-774,32.0,Battery Issue,No,4679.83,3.6,Perfect repair
1532,FAIL01533,Tablet,Sony,Model-748,55.0,Software Crash,No,4502.59,2.6,Fixed quickly
1533,FAIL01534,Gaming Console,Dell,Model-447,52.0,Battery Issue,Yes,2341.62,4.4,Very bad service
1534,FAIL01535,Laptop,Sony,Model-748,56.0,Screen Crack,No,2039.98,1.2,Fixed quickly
1535,FAIL01536,Laptop,Samsung,Model-688,17.0,Overheating,Yes,4855.23,3.1,Had to replace
1536,FAIL01537,Smartphone,Dell,Model-250,27.0,Speaker Malfunction,No,2458.49,4.0,Very bad service
1538,FAIL01539,Tablet,OnePlus,Model-788,28.0,Speaker Malfunction,Yes,1259.88,1.1,Perfect repair
1539,FAIL01540,Tablet,HP,Model-588,55.0,Software Crash,Yes,4463.49,1.9,Fixed quickly
1542,FAIL01543,Smartwatch,HP,Model-632,56.0,Overheating,Yes,4995.7,2.9,Very bad service
1544,FAIL01545,Smartwatch,Samsung,Model-514,30.0,Speaker Malfunction,No,2556.98,2.9,Very bad service
1545,FAIL01546,Gaming Console,OnePlus,Model-800,20.0,Software Crash,No,1319.03,3.2,Had to replace
1546,FAIL01547,Smartwatch,Samsung,Model-784,12.0,Overheating,No,2865.53,3.3,Fixed quickly
1548,FAIL01549,Smartwatch,Samsung,Model-529,10.0,Software Crash,No,1933.29,3.8,Fixed quickly
1549,FAIL01550,Tablet,OnePlus,Model-594,14.0,Overheating,No,401.29,1.1,Not satisfied
1551,FAIL01552,Gaming Console,Dell,Model-948,22.0,Speaker Malfunction,No,4886.04,2.2,Very bad service
1552,FAIL01553,Tablet,Dell,Model-561,41.0,Software Crash,No,3152.07,1.3,Perfect repair
1553,FAIL01554,Laptop,Sony,Model-627,30.0,Overheating,No,2556.98,1.3,Perfect repair
1554,FAIL01555,Tablet,Samsung,Model-884,26.0,Speaker Malfunction,No,3361.43,3.4,Fixed quickly
1555,FAIL01556,Gaming Console,Sony,Model-637,11.0,Screen Crack,No,4992.2,2.5,Not satisfied
1556,FAIL01557,Smartwatch,Samsung,Model-211,20.0,Speaker Malfunction,Yes,3779.59,1.1,Fixed quickly
1557,FAIL01558,Laptop,OnePlus,Model-689,8.0,Overheating,No,2174.26,3.5,Perfect repair
1559,FAIL01560,Smartwatch,Lenovo,Model-550,9.0,Overheating,No,4563.32,5.0,Perfect repair
1560,FAIL01561,Smartphone,OnePlus,Model-294,38.0,Software Crash,No,3907.08,4.6,Not satisfied
1561,FAIL01562,Gaming Console,Dell,Model-306,6.0,Overheating,Yes,4662.32,3.0,Had to replace
1562,FAIL01563,Gaming Console,Dell,Model-167,28.0,Software Crash,No,3886.56,2.5,Fixed quickly
1563,FAIL01564,Smartwatch,Lenovo,Model-131,26.0,Overheating,Yes,4887.23,1.3,Fixed quickly
1564,FAIL01565,Smartwatch,Dell,Model-927,9.0,Speaker Malfunction,Yes,3815.91,1.0,Very bad service
1565,FAIL01566,Laptop,Apple,Model-513,45.0,Battery Issue,No,826.68,4.2,Fixed quickly
1566,FAIL01567,Tablet,Lenovo,Model-580,26.0,Overheating,No,586.65,3.0,Perfect repair
1567,FAIL01568,Smartphone,OnePlus,Model-520,30.0,Speaker Malfunction,Yes,2556.98,3.0,Perfect repair
1568,FAIL01569,Laptop,Sony,Model-747,52.0,Screen Crack,Yes,773.62,3.3,Had to replace
1569,FAIL01570,Laptop,HP,Model-642,6.0,Software Crash,No,2866.2,2.2,Had to replace
1570,FAIL01571,Smartphone,Samsung,Model-833,21.0,Screen Crack,No,3337.63,2.5,Very bad service
1571,FAIL01572,Gaming Console,Apple,Model-585,59.0,Speaker Malfunction,Yes,712.46,1.3,Perfect repair
1572,FAIL01573,Laptop,Lenovo,Model-230,21.0,Software Crash,Yes,134.44,2.8,Not satisfied
1573,FAIL01574,Gaming Console,Dell,Model-951,47.0,Speaker Malfunction,No,3516.04,1.6,Not satisfied
1574,FAIL01575,Tablet,Sony,Model-232,41.0,Overheating,No,345.71,2.7,Perfect repair
1575,FAIL01576,Smartwatch,OnePlus,Model-657,27.0,Software Crash,No,3634.42,4.1,Not satisfied
1576,FAIL01577,Tablet,Samsung,Model-782,56.0,Screen Crack,No,445.52,1.9,Not satisfied
1577,FAIL01578,Smartwatch,Samsung,Model-680,11.0,Screen Crack,No,4820.57,1.9,Not satisfied
1578,FAIL01579,Laptop,Apple,Model-317,30.0,Screen Crack,Yes,2556.98,1.9,Not satisfied
1579,FAIL01580,Smartwatch,Dell,Model-755,17.0,Overheating,Yes,430.8,3.1,Had to replace
1580,FAIL01581,Smartphone,HP,Model-865,34.0,Battery Issue,Yes,3147.9,2.7,Had to replace
1581,FAIL01582,Smartphone,Samsung,Model-523,30.0,Screen Crack,No,2556.98,2.7,Had to replace
1582,FAIL01583,Tablet,OnePlus,Model-736,55.0,Speaker Malfunction,Yes,4628.32,2.9,Perfect repair
1583,FAIL01584,Smartphone,Dell,Model-532,22.0,Speaker Malfunction,No,4146.18,2.6,Fixed quickly
1584,FAIL01585,Tablet,OnePlus,Model-195,16.0,Battery Issue,No,1479.77,1.6,Fixed quickly
1585,FAIL01586,Gaming Console,Apple,Model-599,21.0,Software Crash,Yes,1080.45,4.7,Had to replace
1587,FAIL01588,Tablet,Sony,Model-958,30.0,Software Crash,No,2556.98,4.7,Perfect repair
1588,FAIL01589,Tablet,Lenovo,Model-207,54.0,Screen Crack,Yes,3628.15,4.9,Had to replace
1589,FAIL01590,Tablet,OnePlus,Model-912,43.0,Software Crash,No,3523.59,2.9,Not satisfied
1590,FAIL01591,Smartwatch,Sony,Model-946,54.0,Screen Crack,No,2843.73,3.5,Had to replace
1591,FAIL01592,Smartphone,Apple,Model-378,30.0,Battery Issue,No,2556.98,3.5,Had to replace
1592,FAIL01593,Smartwatch,HP,Model-569,56.0,Overheating,Yes,4771.49,4.1,Had to replace
1593,FAIL01594,Smartwatch,Sony,Model-228,30.0,Screen Crack,Yes,2556.98,4.1,Had to replace
1594,FAIL01595,Smartwatch,Apple,Model-732,45.0,Speaker Malfunction,No,4091.01,2.8,Very bad service
1595,FAIL01596,Gaming Console,Sony,Model-262,7.0,Screen Crack,Yes,4006.43,2.7,Perfect repair
1597,FAIL01598,Smartwatch,Sony,Model-342,13.0,Screen Crack,No,1316.47,3.5,Very bad service
1598,FAIL01599,Laptop,OnePlus,Model-121,32.0,Battery Issue,No,2722.43,4.2,Fixed quickly
1599,FAIL01600,Smartwatch,HP,Model-640,57.0,Screen Crack,Yes,1853.03,2.6,Fixed quickly
1600,FAIL01601,Laptop,Apple,Model-289,19.0,Overheating,Yes,4607.45,3.5,Very bad service
1601,FAIL01602,Laptop,HP,Model-185,24.0,Software Crash,No,4571.72,1.3,Very bad service
1602,FAIL01603,Smartphone,HP,Model-238,44.0,Speaker Malfunction,No,3881.54,1.3,Very bad service
1603,FAIL01604,Tablet,Lenovo,Model-215,40.0,Software Crash,No,203.18,1.4,Fixed quickly
1604,FAIL01605,Smartwatch,Samsung,Model-696,5.0,Speaker Malfunction,No,4244.25,1.9,Not satisfied
1605,FAIL01606,Smartwatch,Apple,Model-728,30.0,Overheating,Yes,2556.98,1.9,Had to replace
1606,FAIL01607,Smartwatch,HP,Model-976,17.0,Battery Issue,Yes,2668.16,2.9,Had to replace
1608,FAIL01609,Laptop,Samsung,Model-953,30.0,Speaker Malfunction,Yes,3120.74,3.7,Had to replace
1609,FAIL01610,Smartwatch,Samsung,Model-662,59.0,Screen Crack,Yes,1354.98,4.1,Perfect repair
1610,FAIL01611,Smartwatch,HP,Model-913,50.0,Overheating,Yes,2921.78,2.6,Not satisfied
1611,FAIL01612,Tablet,Lenovo,Model-334,11.0,Overheating,Yes,3289.73,4.5,Fixed quickly
1613,FAIL01614,Tablet,Apple,Model-774,15.0,Software Crash,Yes,2162.16,4.5,Fixed quickly
1614,FAIL01615,Tablet,Apple,Model-239,36.0,Software Crash,No,442.55,2.9,Very bad service
1615,FAIL01616,Gaming Console,OnePlus,Model-333,10.0,Overheating,Yes,2149.22,2.4,Fixed quickly
1616,FAIL01617,Smartphone,Dell,Model-842,20.0,Overheating,No,4517.01,3.1,Had to replace
1617,FAIL01618,Tablet,Apple,Model-830,30.0,Software Crash,Yes,2731.56,2.5,Had to replace
1618,FAIL01619,Tablet,Lenovo,Model-968,35.0,Speaker Malfunction,Yes,291.65,2.3,Perfect repair
1619,FAIL01620,Smartwatch,OnePlus,Model-192,30.0,Software Crash,Yes,2556.98,2.3,Very bad service
1620,FAIL01621,Laptop,HP,Model-149,32.0,Screen Crack,Yes,3117.26,2.9,Fixed quickly
1621,FAIL01622,Laptop,Samsung,Model-726,30.0,Overheating,Yes,2556.98,2.9,Perfect repair
1622,FAIL01623,Tablet,OnePlus,Model-426,51.0,Speaker Malfunction,No,1019.79,4.2,Perfect repair
1623,FAIL01624,Laptop,Samsung,Model-928,58.0,Speaker Malfunction,Yes,2932.04,4.5,Fixed quickly
1624,FAIL01625,Smartwatch,OnePlus,Model-321,12.0,Software Crash,No,3076.9,1.7,Fixed quickly
1625,FAIL01626,Tablet,Dell,Model-493,46.0,Speaker Malfunction,Yes,2349.42,2.5,Fixed quickly
1626,FAIL01627,Tablet,HP,Model-264,7.0,Battery Issue,Yes,553.24,3.4,Fixed quickly
1627,FAIL01628,Tablet,HP,Model-257,18.0,Software Crash,Yes,3719.42,3.5,Not satisfied
1628,FAIL01629,Smartwatch,OnePlus,Model-967,30.0,Software Crash,No,2556.98,3.5,Very bad service
1629,FAIL01630,Laptop,Samsung,Model-529,45.0,Software Crash,No,2015.51,3.1,Fixed quickly
1630,FAIL01631,Tablet,OnePlus,Model-687,30.0,Screen Crack,No,2556.98,3.1,Fixed quickly
1631,FAIL01632,Gaming Console,Sony,Model-658,34.0,Battery Issue,Yes,3223.61,2.4,Not satisfied
1632,FAIL01633,Tablet,Sony,Model-164,35.0,Speaker Malfunction,No,4892.28,4.8,Not satisfied
1633,FAIL01634,Laptop,Lenovo,Model-634,12.0,Overheating,Yes,2485.7,1.9,Very bad service
1634,FAIL01635,Smartphone,OnePlus,Model-334,30.0,Battery Issue,No,2556.98,1.9,Not satisfied
1636,FAIL01637,Smartphone,Apple,Model-992,54.0,Overheating,No,1264.16,2.1,Perfect repair
1637,FAIL01638,Gaming Console,Lenovo,Model-457,40.0,Software Crash,Yes,1767.5,1.8,Not satisfied
1638,FAIL01639,Smartphone,Apple,Model-560,19.0,Screen Crack,Yes,4806.76,3.3,Not satisfied
1639,FAIL01640,Smartwatch,Lenovo,Model-646,40.0,Software Crash,Yes,3016.56,1.2,Not satisfied
1640,FAIL01641,Smartwatch,Apple,Model-931,53.0,Battery Issue,Yes,1020.76,4.8,Had to replace
1641,FAIL01642,Smartphone,HP,Model-540,10.0,Screen Crack,No,344.01,2.4,Had to replace
1642,FAIL01643,Smartphone,Samsung,Model-812,8.0,Software Crash,Yes,361.04,5.0,Not satisfied
1643,FAIL01644,Laptop,HP,Model-960,22.0,Battery Issue,Yes,2552.96,3.2,Perfect repair
1644,FAIL01645,Smartwatch,OnePlus,Model-916,21.0,Speaker Malfunction,Yes,614.63,2.2,Very bad service
1645,FAIL01646,Laptop,Dell,Model-845,20.0,Software Crash,Yes,4179.99,1.9,Had to replace
1646,FAIL01647,Laptop,Samsung,Model-456,5.0,Screen Crack,No,1777.68,4.1,Had to replace
1647,FAIL01648,Smartphone,Lenovo,Model-774,42.0,Speaker Malfunction,Yes,1981.73,1.2,Very bad service
1648,FAIL01649,Laptop,Samsung,Model-668,1.0,Software Crash,No,1786.8,4.1,Not satisfied
1649,FAIL01650,Smartphone,Samsung,Model-794,57.0,Speaker Malfunction,No,2721.57,3.5,Perfect repair
1650,FAIL01651,Smartphone,Samsung,Model-935,57.0,Overheating,Yes,4991.14,2.4,Perfect repair
1651,FAIL01652,Tablet,Apple,Model-360,30.0,Overheating,Yes,2556.98,2.4,Perfect repair
